date,Station_No,PM2.5,TSP,O3,CO,NO2,SO2,Temperature,Humidity
21-04-2021 02:00,2,19.37666667,43.93166667,106.29645,0.0,67.97156667,208.7266667,27.83166667,88.24833333
21-04-2021 02:00,3,20.99333333,0.0,73.77608333,545.687,70.98276667,186.4566667,28.055,86.66333333
21-04-2021 02:00,4,23.43833333,51.84,74.92116667,478.073,61.66686667,183.4,28.54833333,84.26666667
21-04-2021 02:00,5,12.22,25.26333333,84.04911667,748.338,61.165,339.7266667,28.375,85.835
21-04-2021 02:00,6,15.92166667,31.91,78.81445,640.423,104.8587667,183.4,28.37333333,86.44166667
21-04-2021 03:00,1,13.5,29.88666667,93.96226667,476.927,154.2926333,158.0733333,28.04333333,87.52166667
21-04-2021 03:00,2,20.34,45.27833333,101.78155,0.0,71.95513333,226.63,27.82333333,88.525
21-04-2021 03:00,3,21.77833333,0.0,71.81308333,546.833,69.634,184.2733333,27.97333333,87.24
21-04-2021 03:00,4,23.65333333,52.46166667,71.58406667,506.532,61.76096667,181.2166667,28.475,84.79333333
21-04-2021 03:00,5,12.01833333,24.95,82.34785,756.933,60.66313333,361.56,28.265,86.47
21-04-2021 03:00,6,15.57166667,31.035,74.82301667,661.624,103.3531667,185.5833333,28.35833333,86.725
21-04-2021 04:00,1,15.99333333,36.85166667,94.0277,524.104,158.7467,165.06,27.90833333,88.49666667
21-04-2021 04:00,2,19.335,44.09,94.32215,0.0,67.87746667,218.77,27.70333333,89.36666667
21-04-2021 04:00,3,27.28666667,0.0,73.08903333,624.952,73.398,206.98,27.49166667,89.71666667
21-04-2021 04:00,4,24.69666667,54.63666667,69.26118333,611.773,61.7296,196.5,28.36666667,85.71833333
21-04-2021 04:00,5,13.34,27.86166667,78.78173333,769.921,62.73333333,327.9366667,28.155,87.27833333
21-04-2021 04:00,6,17.085,34.83,73.6125,777.561,105.5488333,210.4733333,28.23,87.40166667
21-04-2021 05:00,1,16.56166667,38.75833333,90.65788333,739.361,160.9423667,204.7966667,27.40666667,91.125
21-04-2021 05:00,2,25.16333333,51.41,98.50988333,0.0,72.23743333,250.6466667,27.575,89.89
21-04-2021 05:00,3,36.57,0.0,75.80451667,795.515,80.5496,227.94,27.25,90.76166667
21-04-2021 05:00,4,24.97166667,60.325,64.41911667,822.064,62.54513333,230.9966667,28.27333333,84.73833333
21-04-2021 05:00,5,14.19333333,29.71166667,71.02788333,971.044,67.43833333,345.4033333,28.23166667,85.56666667
21-04-2021 05:00,6,18.285,38.80666667,73.08903333,1024.715,113.1709333,248.9,28.125,86.90833333
21-04-2021 06:00,1,19.25166667,46.08,80.0904,1187.256,154.6690333,291.6933333,27.84333333,89.585
21-04-2021 06:00,2,34.87,63.02333333,91.54123333,0.0,70.1045,300.4266667,27.89833333,88.27666667
21-04-2021 06:00,3,47.74,0.0,72.14025,1050.882,79.5145,279.9033333,27.675,88.90666667
21-04-2021 06:00,4,22.05833333,49.51,63.4049,1047.253,57.55783333,273.79,28.6,81.17833333
21-04-2021 06:00,5,15.18166667,31.67166667,69.85008333,1339.483,65.61906667,404.3533333,28.485,82.63
21-04-2021 06:00,6,18.755,39.33,73.44891667,1193.75,109.5951333,288.6366667,28.345,84.97
21-04-2021 07:00,1,18.85666667,43.23166667,64.51726667,1180.571,116.1507667,294.3133333,28.61833333,83.80333333
21-04-2021 07:00,2,29.81166667,57.67,86.01211667,0.0,60.85133333,349.77,28.50666667,85.01
21-04-2021 07:00,3,41.24833333,0.0,66.742,1220.299,69.41443333,341.0366667,28.27166667,86.40833333
21-04-2021 07:00,4,22.15,50.25833333,70.56985,1447.589,56.46,355.01,29.07,79.30333333
21-04-2021 07:00,5,13.85166667,28.83333333,82.70773333,1466.498,63.64296667,435.7933333,28.77333333,82.36833333
21-04-2021 07:00,6,19.19,40.76833333,80.18855,1679.463,106.2702667,418.3266667,28.69166667,83.44
21-04-2021 08:00,1,18.65666667,41.84166667,75.9681,1299.182,89.17543333,310.9066667,29.74666667,77.67
21-04-2021 08:00,2,23.40833333,50.4,81.17005,0.0,47.74006667,292.5666667,29.31833333,81.15166667
21-04-2021 08:00,3,32.90333333,0.0,59.38075,917.755,57.65193333,296.06,29.28166667,82.07333333
21-04-2021 08:00,4,20.065,45.925,74.49585,1362.021,46.8618,348.8966667,30.17666667,74.865
21-04-2021 08:00,5,15.06833333,33.82833333,89.18563333,1547.1,57.71466667,458.0633333,29.675,78.23833333
21-04-2021 08:00,6,18.1,40.12166667,82.446,1464.97,97.0171,355.01,29.24,80.74833333
21-04-2021 09:00,1,18.15,41.455,93.30793333,1128.81,80.70643333,279.4666667,30.45833333,74.02
